"SNo","Name","Symbol","Date","High","Low","Open","Close","Volume","Marketcap"
"1","Bitcoin","BTC","4/29/2013 23:59","147.4880065918","134","134.44400024414","144.53999328613","0","1603768864.5"
"2","Bitcoin","BTC","4/30/2013 23:59","146.92999267578","134.05000305176","144","139","0","1542813125"
"3","Bitcoin","BTC","5/1/2013 23:59","139.88999938965","107.7200012207","139","116.98999786377","0","1298954593.75"
"4","Bitcoin","BTC","5/2/2013 23:59","125.59999847412","92.281898498535","116.37999725342","105.20999908447","0","1168517495.25"
"5","Bitcoin","BTC","5/3/2013 23:59","108.12799835205","79.099998474121","106.25","97.75","0","1085995168.75"
"6","Bitcoin","BTC","5/4/2013 23:59","115","92.5","98.099998474121","112.5","0","1250316562.5"
"7","Bitcoin","BTC","5/5/2013 23:59","118.80000305176","107.1429977417","112.90000152588","115.91000366211","0","1288693175.5"
"8","Bitcoin","BTC","5/6/2013 23:59","124.66300201416","106.63999938965","115.98000335693","112.30000305176","0","1249023060"
"9","Bitcoin","BTC","5/7/2013 23:59","113.44400024414","97.699996948242","112.25","111.5","0","1240593600"
"10","Bitcoin","BTC","5/8/2013 23:59","115.7799987793","109.59999847412","109.59999847412","113.56600189209","0","1264049202.15"
"11","Bitcoin","BTC","5/9/2013 23:59","113.45999908447","109.26000213623","113.19999694824","112.66999816894","0","1254535382"
"12","Bitcoin","BTC","5/10/2013 23:59","122","111.55100250244","112.79900360107","117.19999694824","0","1305479080"
"13","Bitcoin","BTC","5/11/2013 23:59","118.67900085449","113.01000213623","117.69999694824","115.24299621582","0","1284207489.42"
"14","Bitcoin","BTC","5/12/2013 23:59","117.44899749756","113.43499755859","115.63999938965","115","0","1281982625"
"15","Bitcoin","BTC","5/13/2013 23:59","118.69899749756","114.5","114.81999969482","117.98000335693","0","1315710010.5"
"16","Bitcoin","BTC","5/14/2013 23:59","119.80000305176","110.25","117.98000335693","111.5","0","1243874487.5"
"17","Bitcoin","BTC","5/15/2013 23:59","115.80999755859","103.5","111.40000152588","114.2200012207","0","1274623812.5"
"18","Bitcoin","BTC","5/16/2013 23:59","118.76000213623","112.19999694824","114.2200012207","118.76000213623","0","1325726787"
"19","Bitcoin","BTC","5/17/2013 23:59","125.30000305176","116.57099914551","118.20999908447","123.01499938965","0","1373723881.88"
"20","Bitcoin","BTC","5/18/2013 23:59","125.25","122.30000305176","123.5","123.49800109863","0","1379574545.85"
